Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
10/27/2023,27,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,19,9,27
10/27/2024,55,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,42,23,55
10/28/2021,34,Ozone,QUAPAW SHELTER,40-115-9004,AQS,34,25,19
10/28/2022,74,Ozone,QUAPAW SHELTER,40-115-9004,AQS,74,21,56
10/28/2023,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,11,6,24
10/28/2024,59,PM2.5,,40-115-9007,AQS,43,49,59
10/29/2021,44,PM2.5,,40-115-9007,AQS,28,31,44
10/29/2022,238,Ozone,QUAPAW SHELTER,40-115-9004,AQS,238,22,62
10/29/2023,25,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,19,6,25
10/29/2024,55,PM2.5,,40-115-9007,AQS,.,44,55
10/30/2021,34,PM2.5,,40-115-9007,AQS,33,31,34
10/30/2022,53,PM2.5,,40-115-9007,AQS,31,12,53
10/30/2023,28,Ozone,QUAPAW SHELTER,40-115-9004,AQS,28,8,26
10/30/2024,48,PM2.5,,40-115-9007,AQS,.,31,48
10/31/2021,54,PM2.5,,40-115-9007,AQS,31,38,54
10/31/2022,67,PM2.5,,40-115-9007,AQS,42,31,67
10/31/2023,28,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,28,11,28
10/31/2024,21,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,6,21
11/13/2021,38,PM10,,40-115-9007,AQS,31,38,34
11/13/2022,54,PM2.5,,40-115-9007,AQS,28,15,54
11/13/2023,61,PM2.5,,40-115-9007,AQS,41,44,61
11/13/2024,27,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,27,9,27
11/14/2021,40,PM10,,40-115-9007,AQS,32,40,39
11/14/2022,53,PM2.5,,40-115-9007,AQS,22,15,53
11/14/2023,62,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,43,57,62
11/14/2024,32,PM10,QUAPAW SHELTER,40-115-9004,AQS,30,32,29
11/15/2021,55,PM2.5,,40-115-9007,AQS,41,51,55
11/15/2022,56,PM2.5,,40-115-9007,AQS,22,15,56
11/15/2023,70,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,41,61,70
11/15/2024,41,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,36,21,41
11/16/2021,67,PM2.5,,40-115-9007,AQS,42,51,67
11/16/2022,64,PM2.5,,40-115-9007,AQS,28,23,64
11/16/2023,52,PM2.5,,40-115-9007,AQS,30,20,52
11/16/2024,37,Ozone,QUAPAW SHELTER,40-115-9004,AQS,37,13,36
